university,course_name,course_levels,intake,documents_required,course_requirements,Active
3,BA Hons Animation,2,1,1,1,1
3,BA Hons Graphic Design,2,1,1,1,1
3,BA Hons Illustration,2,1,1,1,1
3,BA Hons Drawing & Painting,2,1,1,1,1
3,BA Hons Business & Management,2,1,1,1,1
3,BA Hons Business & Management with Accounting & Finance,2,1,1,1,1
3,BA Hons Business Management with Marketing,2,1,1,1,1
3,MSc Accounting & Finance,1,1,1,1,1
3,MA Animation,1,1,1,1,1
3,MSc Biomedical Science,1,1,1,1,1
3,MSc Building Information Modelling in Design & Construction,1,1,1,1,1
3,MSc Business Management,1,1,1,1,1
3,MSc Civil Engineering,1,1,1,1,1
3,MSc Commercial Games Development,1,1,1,1,1
3,MSc Cyber Security,1,1,1,1,1
3,MSc Data Science,1,1,1,1,1
3,MA Design,1,1,1,1,1
3,MSc Digital Marketing,1,1,1,1,1
3,MSc Engineering Management,1,1,1,1,1
3,MSc Environmental Consultancy,1,1,1,1,1
3,MSc Environmental Health,1,1,1,1,1
3,MSc Environmental Management,1,1,1,1,1
3,MSc Events Management,1,1,1,1,1
3,MSc Finance,1,1,1,1,1
3,MSc Finance Technology,1,1,1,1,1
3,MSc Forensic Science,1,1,1,1,1
3,MA Graphic Arts,1,1,1,1,1
3,MSc Health Technology,1,1,1,1,1
3,MSc International Management,1,1,1,1,1
3,MSc Information Management,1,1,1,1,1
3,MSc Information Technology,1,1,1,1,1
3,MSc Marketing,1,1,1,1,1
3,MSc Marketing Communications,1,1,1,1,1
3,MA Multidisciplinary Print Making,1,1,1,1,1
3,MA Photography,1,1,1,1,1
3,MSc Project Management,1,1,1,1,1
3,MSc Public Health,1,1,1,1,1
3,MSc Construction Project Management,1,1,1,1,1
3,MSc Real Estate Management,1,1,1,1,1
3,MSc Risk Management & Insurance,1,1,1,1,1
3,MSc Science Communication,1,1,1,1,1
3,MA Screen Production,1,1,1,1,1
3,MSc Sports & Exercise Psychology,1,1,1,1,1
3,MSc Transport Engineering & Planning,1,1,1,1,1
3,MSc Urban Planning,1,1,1,1,1
3,LLM,1,1,1,1,1
4,BSc Computer Science,2,1,1,1,1
4,BSc Computing for Business,2,1,1,1,1
4,BSc Cyber Security & Networks,2,1,1,1,1
4,BSc Applied Computing (Top-Up),2,1,1,1,1
4,BSc Data Science and Artificial Intelligence,2,1,1,1,1
4,BSc Cloud Computing,2,1,1,1,1
4,BA Product Design,2,1,1,1,1
4,BSc Quantity Surveying and Commercial Management,2,1,1,1,1
4,BEng Railway Engineering,2,1,1,1,1
4,BEng Mechatronics Engineering,2,1,1,1,1
4,BEng Mechatronics and Computer Systems Engineering,2,1,1,1,1
4,BEng Biomedical Engineering,2,1,1,1,1
4,BEng Product Design Engineering,2,1,1,1,1
4,BA Graphic Design and Illustration,2,1,1,1,1
4,BA Commercial Photography,2,1,1,1,1
4,BA Fine Art Technology,2,1,1,1,1
4,BA Design Interactions,2,1,1,1,1
4,BSc Business Management,2,1,1,1,1
